customer_id,age,gender,location,account_age_days,total_purchases,avg_order_value,total_revenue,days_since_last_purchase,email_open_rate,website_visits_per_month,primary_category,satisfaction_score,support_tickets,discount_usage_rate,uses_mobile_app,newsletter_subscribed,customer_lifetime_value,is_churned
CUST00001,43,Male,Urban,90,8,100.48,803.81,78,0.259,15,Beauty,3.04,1,0.28,0,1,1044.96,0
CUST00002,36,Male,Urban,86,9,23.13,208.14,55,0.446,8,Electronics,3.55,1,0.27,1,0,270.59,0
CUST00003,45,Male,Rural,536,8,144.61,1156.86,15,0.496,9,Beauty,5.0,1,0.32,1,1,1503.92,0
CUST00004,56,Male,Urban,541,3,156.79,470.36,81,0.314,3,Home & Garden,4.32,2,0.3,1,1,611.47,0
CUST00005,35,Male,Urban,119,12,36.27,435.26,80,0.522,6,Books,3.78,1,0.283,0,0,565.84,0
CUST00006,35,Female,Urban,341,5,76.6,383.02,6,0.593,8,Electronics,3.1,2,0.154,0,0,497.92,0
CUST00007,56,Female,Urban,394,4,90.99,363.98,56,0.53,10,Books,3.58,2,0.337,1,1,473.17,0
CUST00008,47,Female,Rural,302,12,117.6,1411.16,15,0.126,11,Home & Garden,3.44,3,0.287,1,1,1834.5,0
CUST00009,32,Male,Urban,590,4,54.98,219.94,28,0.474,6,Electronics,2.42,1,0.338,1,1,285.92,0
CUST00010,44,Male,Rural,210,19,64.92,1233.53,25,0.242,16,Fashion,2.14,1,0.376,1,1,1603.59,0
CUST00011,32,Male,Rural,226,15,138.75,2081.19,41,0.366,4,Electronics,4.37,1,0.354,0,1,2705.55,0
CUST00012,32,Other,Urban,595,14,66.91,936.67,19,0.749,7,Sports,3.63,1,0.086,1,1,1217.68,0
CUST00013,40,Female,Urban,93,5,122.38,611.9,3,0.35,8,Beauty,5.0,1,0.144,0,0,795.48,0
CUST00014,18,Female,Rural,522,6,176.04,1056.23,50,0.737,9,Home & Garden,3.64,1,0.251,0,1,1373.1,0
CUST00015,18,Male,Urban,792,13,169.16,2199.04,145,0.19,11,Books,4.72,2,0.286,1,1,2858.76,0
CUST00016,31,Female,Urban,434,6,71.53,429.18,49,0.669,3,Sports,4.97,2,0.19,1,1,557.94,0
CUST00017,25,Male,Urban,285,6,106.97,641.81,34,0.291,6,Sports,5.0,2,0.165,1,1,834.35,0
